clustera,wt.1mm.fpkm,wt.2mm.fpkm,tip.IM/SPM.ear.fpkm,mid.SM.ear.fpkm,base.FM.ear.fpkm,stg1.tassel.fpkm,stg2.tassel.fpkm,stg3.tassel.fpkm
1,2.1145,2.2557,1.7844,1.6256,1.7797,2.0639,0.8107,1.3855
1,1.3782,1.0778,1.2685,0.3125,0.2251,0.5934,0.3088,0.3508
1,10.9404,21.0635,27.3586,11.8914,11.349,8.554,7.6921,11.227
1,12.7481,20.0961,14.9675,8.344,5.7529,10.736,6.7689,4.3885
1,0.0397,0.1093,0.1197,0,0,0,0.1052,0
1,99.3445,134.1763,215.636,91.4322,107.973,73.0644,69.9212,35.635
1,42.5111,57.4036,86.5235,33.1943,38.1137,38.777,22.7677,22.5083
1,37.3131,38.9318,45.6919,29.311,32.2784,24.9305,13.5329,14.0632
1,79.4838,95.6576,130.876,47.0934,55.5144,55.9522,39.0292,39.8065
1,10.4664,10.6914,12.2031,7.883,7.4109,9.1177,7.4194,7.7338
1,21.8544,43.1497,39.3312,26.6187,37.9697,29.9286,26.3406,12.0906
1,389.4623,646.7817,724.43,262.162,296.651,552.721,338.57,287.555
1,9.2331,13.3164,15.2259,9.7846,10.1335,12.5756,7.331,9.5301
1,1.6473,1.6037,3.8158,1.3371,0.9764,0.2196,0.1316,0.2927
1,20.4925,24.0909,36.9561,15.5934,18.2858,12.1866,10.3479,12.9437
1,101.8742,116.6823,143.027,68.1972,89.4502,49.0356,52.767,42.5992
1,21.3179,23.8461,18.9665,11.5087,14.6038,12.5999,11.5363,14.153
1,0.5504,2.215,1.618,0.9747,0.5846,0.706,0.5095,0.3041
1,0,0.3988,0.6163,0.1154,0.2016,0,0,0
1,13.9996,17.7639,18.711,11.1894,11.2382,11.2907,8.0682,7.3661
1,0.6346,0.8591,1.2877,0.6891,0.7131,0.5632,0.2437,0.6186
1,0.8763,1.3932,1.3012,0.3165,0.6705,0.1445,0.1795,0.2812
1,58.7421,34.0919,64.6528,37.3869,34.4612,27.3308,34.4745,28.8821
1,61.1681,83.3087,106.135,61.024,63.8321,60.559,41.1586,40.5787
1,237.9967,359.96,443.997,245.053,226.375,330.603,244.35,171.651
1,1509.2933,1794.03,1702.37,1171.66,1081.31,1201.35,942.008,1536.84
1,0.9044,0.9382,1.4039,0.6542,0.8613,0.2644,0.3327,0.6408
1,40.3522,49.1298,36.5919,21.0575,22.063,25.769,14.2678,18.4108
1,71.8295,90.4615,89.4002,43.2493,44.3689,50.3559,36.2243,48.4809
1,28.6193,39.8955,31.4602,21.9501,27.834,38.3246,19.7723,27.1431
1,23.1193,18.4214,34.4212,13.5786,11.8113,8.5557,9.3465,15.3928
1,2.3637,2.8191,2.9418,1.0204,2.4661,2.7757,1.5755,1.8693
1,0.3515,0.4217,0.2787,0.1583,0.1831,0,0.054,0.098
1,13.1675,17.8571,19.6167,14.0068,14.3759,14.1525,14.5799,11.7043
1,27.6335,30.2104,37.6312,17.3397,17.5235,28.056,21.7728,16.2914
1,24.7417,30.367,30.9812,21.8375,22.2934,19.8087,22.1325,18.782
